"Notes","State","State Code",Deaths,Births,Death Rate
,"Alabama","01",442,57858,7.64
,"Alaska","02",65,9015,7.21
,"Arizona","04",433,78096,5.54
,"Arkansas","05",290,35264,8.22
,"California","06",1642,400108,4.10
,"Colorado","08",280,61494,4.55
,"Connecticut","09",155,34559,4.49
,"Delaware","10",64,10427,6.14
,"District of Columbia","11",55,7896,6.97
,"Florida","12",1351,221410,6.10
,"Georgia","13",874,125120,6.99
,"Hawaii","15",72,14808,4.86
,"Idaho","16",98,22397,4.38
,"Illinois","17",738,124820,5.91
,"Indiana","18",514,79000,6.51
,"Iowa","19",184,36052,5.10
,"Kansas","20",178,34065,5.23
,"Kentucky","21",342,51984,6.58
,"Louisiana","22",392,54927,7.14
,"Maine","23",66,11627,5.68
,"Maryland","24",368,65594,5.61
,"Massachusetts","25",220,67093,3.28
,"Michigan","26",604,99124,6.09
,"Minnesota","27",292,61715,4.73
,"Mississippi","28",308,34459,8.94
,"Missouri","29",411,67123,6.12
,"Montana","30",61,11078,5.51
,"Nebraska","31",154,24111,6.39
,"Nevada","32",187,31794,5.88
,"New Hampshire","33",35,11936,2.93
,"New Jersey","34",373,101001,3.69
,"New Mexico","35",92,20951,4.39
,"New York","36",821,203612,4.03
,"North Carolina","37",834,120082,6.95
,"North Dakota","38",47,9647,4.87
,"Ohio","39",909,126896,7.16
,"Oklahoma","40",341,47909,7.12
,"Oregon","41",177,38298,4.62
,"Pennsylvania","42",707,126951,5.57
,"Rhode Island","44",47,9805,4.79
,"South Carolina","45",402,57729,6.96
,"South Dakota","46",71,11201,6.34
,"Tennessee","47",538,83021,6.48
,"Texas","48",2263,387945,5.83
,"Utah","49",235,45019,5.22
,"Vermont","50",16,5065,3.16 (Unreliable)
,"Virginia","51",544,92649,5.87
,"Washington","53",408,80932,5.04
,"West Virginia","54",93,16606,5.60
,"Wisconsin","55",345,59754,5.77
,"Wyoming","56",23,5990,3.84